"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Rsph9",-0.496001530649961,0.960379175515339,-1.60175690843305,0.154005833436797,0.504963591708552,-5.41015535347664
"Cggbp1",-0.214829819328705,4.49505378025819,-1.6016587320457,0.154027507258358,0.504963591708552,-5.41028350095498
"Slc25a11",0.319928340570567,4.8869824698237,1.60165649749796,0.154028000599368,0.504963591708552,-5.4102864176204
"Ppp5c",-0.190473733843764,4.35685941405088,-1.60128351660615,0.154110367557751,0.504972725245758,-5.41077322926665
"Zranb3",-0.255629465763197,1.31406960721607,-1.60121807982882,0.154124822472588,0.504972725245758,-5.41085863162625
"Csnk2a1",0.217732378482892,4.52771113471765,1.6007091720661,0.154237282796822,0.505168984999762,-5.41152276059915
"Smc5",-0.239212950921216,3.39584499458127,-1.60042292408816,0.154300572539118,0.505168984999762,-5.41189627541184
"Mll2",0.245702566554404,1.39462833920638,1.60004206975532,0.154384817374589,0.505168984999762,-5.41239319263277
"Cdk10",0.242926222694659,1.94338848990539,1.59988981680862,0.154418507660516,0.505168984999762,-5.41259182895628
"Naf1",-0.287346214378438,1.77630308172652,-1.59988350344729,0.154419904818829,0.505168984999762,-5.41260006548148
"Kdm5c",0.192853469494856,4.09763087359898,1.59907048379616,0.154599926005844,0.505480158654897,-5.41366062469195
"Scfd2",-0.3237092902872,2.43838188734983,-1.59902882865741,0.154609154672378,0.505480158654897,-5.41371495607875
"Ptma",-0.319630704424595,6.33946030330098,-1.59874625032835,0.154671773253689,0.505530993531535,-5.41408351034469
"Dusp5",0.344519594457556,1.22216068340283,1.59664143900632,0.15513893757357,0.506763770094808,-5.41682780745473
"Lrig3",0.269294555026537,2.48868132816895,1.59647765718539,0.155175344116156,0.506763770094808,-5.41704128195112
"Gfer",0.248547947012595,3.63852986231904,1.59623461751184,0.155229383299352,0.506763770094808,-5.41735804371666
"Bcl2l1",0.267612567372451,3.10478553203769,1.59619725990335,0.155237691211538,0.506763770094808,-5.41740673123124
"Ccdc141",-0.48977853926358,2.18050220793952,-1.59578080568511,0.155330333987719,0.506912120032846,-5.41794945420972
"Zfp295",-0.24803813209228,2.16697990441189,-1.59494323958367,0.155516811565917,0.507366511609341,-5.41904077826085
"Ubc",0.292322486292129,5.88668590121326,1.59425679912151,0.155669797579686,0.507593569489172,-5.4199349988463
"Ppp2r1b",0.30511027735085,3.64923333569084,1.5942068606321,0.155680932765115,0.507593569489172,-5.42000004659728
"Ccdc66",-0.246393471907405,2.39507464745817,-1.59299894347449,0.155950497691587,0.508318162430241,-5.42157314991204
"Rbck1",0.201605822222297,3.57106076806432,1.59204263616771,0.15616422010857,0.508739135115019,-5.42281819555933
"Vps35",0.206279216808031,5.23582491687879,1.5919971694259,0.156174388126091,0.508739135115019,-5.42287738174007
"Fam122a",-0.39791753617152,1.78418081889888,-1.59150943231679,0.156283502641611,0.508806330703574,-5.42351224415707
"Clasp1",-0.205003652585317,3.79527585998596,-1.5913693936792,0.156314844606345,0.508806330703574,-5.42369450913254
"2310028H24Rik",0.281725753335315,2.25077161170953,1.59126978860028,0.156337140718975,0.508806330703574,-5.42382414409178
"Cenpl",-0.445291404879119,1.05716357348948,-1.59035930767512,0.156541084615992,0.509315737284385,-5.42500895633253
"Ulk1",-0.195249287819788,1.90120670103001,-1.58980520844071,0.156665321618621,0.509455603890795,-5.42572985843297
"Dip2a",0.257341298468552,3.07485875655037,1.58974447679066,0.15667894410161,0.509455603890795,-5.42580886551656
"Slc16a7",0.313200317449971,1.16542381142669,1.58902490973502,0.15684043129558,0.509826341439021,-5.42674486201487
"Gm14326",-0.303992989268899,1.39683991108004,-1.58861729318101,0.156931978372535,0.509867772265618,-5.42727499567551
"Tom1l1",-0.574767784410725,2.46883395745883,-1.58837698490796,0.156985972767012,0.509867772265618,-5.42758750456392
"Nacad",0.529359315868307,1.26380959892603,1.58833415462094,0.156995598033743,0.509867772265618,-5.42764320097181
"Eif1ad",-0.246162618905124,3.31219689549623,-1.58715815430751,0.157260095495194,0.510332590280843,-5.4291722044037
"Gm527",-0.236636220332433,1.2383351001229,-1.58707841171375,0.157278045610546,0.510332590280843,-5.42927586503788
"Cndp2",0.233362273560235,3.4497673395241,1.58706407432768,0.157281273168491,0.510332590280843,-5.42929450253854
"Uso1",0.236916734753497,3.06027663579984,1.58629879261618,0.157453638791536,0.510737565877711,-5.43028919961517
"Psmd7",0.196835196471674,4.76814256115502,1.58582523208795,0.157560387507908,0.510929517462236,-5.43090461503973
"Cdkl5",-0.416533933662053,2.18639917627647,-1.58560199152251,0.157610733108491,0.510938506968062,-5.43119469842734
"Eed",-0.286605137931303,3.14962616787014,-1.58517464868164,0.157707149912691,0.511046235332426,-5.43174994498701
"Aars",0.213643325586617,4.69665243325331,1.58503295299202,0.157739131296741,0.511046235332426,-5.43193403524922
"Myt1",-0.754059088428128,3.89733952660397,-1.58451394880767,0.157856324453411,0.511271690177813,-5.4326082590254
"Mtap9",0.210610089824074,1.81224870025342,1.58415382872245,0.157937688500956,0.511380999246389,-5.43307602216656
"Creb1",-0.221282197171648,3.22878616607876,-1.5830016274923,0.158198273918656,0.511959523828934,-5.43457230273316
"1110038F14Rik",-0.318577749977765,3.86250185056168,-1.58269709988646,0.158267213527806,0.511959523828934,-5.43496768826258
"Kbtbd3",0.358344621025457,1.90403503061612,1.5825765740315,0.158294506134645,0.511959523828934,-5.43512416430883
"Med4",-0.216228485645129,3.11805087404755,-1.58247815112053,0.158316796858903,0.511959523828934,-5.4352519405815
"Fuca2",-0.321735592924306,1.53117277205337,-1.58231079765123,0.158354705601464,0.511959523828934,-5.43546919678015
"Spred2",-0.276928059775369,1.56113029536845,-1.58202816778244,0.158418745781587,0.511967885837263,-5.43583607968706
"Phf17",-0.342839229290387,1.95017249498468,-1.58176839097438,0.158477628973691,0.511967885837263,-5.43617327069966
"Dennd5a",0.252837832042857,6.44080052479131,1.58166839705531,0.158500299851853,0.511967885837263,-5.43630305637818
"Eif1b",0.270555536045336,5.66515116104104,1.58145664902621,0.158548317850612,0.511969011940943,-5.43657787940252
